dummy,Announced_Date,Target_Company,Target_Description,Target_City,Target_Website,Target_Sector,Target_Country,Bidder_Company,Bidder_Description,Bidder_Website,Bidder_Sector,Bidder_Country,Seller_Company,Seller_Description,Seller_Website,Seller_Sector,Seller_Country,Implied_Equity_Value_(m),Net_Debt_(m),Enterprise_Value_(m),Reported_Revenue_(m)_Y1,Reported_EBITDA_(m)_Y1,Reported_EBIT_(m)_Y1,Reported_Earnings_(m)_Y1,Reported_Revenue_Multiple_Y1,Reported_EBIT_Multiple_Y1,Reported_EBITDA_Multiple_Y1,Reported_PE_Multiple_Y1,Consideration,Deal_Description,Deal_Value_USD(m)
,26/12/23,Green Support Systems Co Ltd (100% Stake),Employment placement agency.,,https://www.greensupport.co.jp/,Services (other),Japan,Toda Corporation,Listed Japan-based company engaged in construction services,,Construction,Japan,,,,,,,,,,,,,,,,,,"Toda Corp, the Japan based construction company, announced it has acquired all shares in Green Support Systems Co Ltd, the local employment placement agency. The terms of the deal were undisclosed.",
,26/12/23,Shandong Ruihong Energy Service Group Co Ltd (67% Stake),Company engaged in providing engineering services for petroleum natural gas projects.,,,Energy,China,Undisclosed Acquirer,Undisclosed Acquirer.,,,China,"Dongying Financial Holding Group Co., Ltd.",Chinese state-owned financial company,,Financial Services,China,55.3441,,55.3441,,,,,,,,,Cash (USD 37.0805),"A China based undisclosed acquirer has acquired 67% of Shandong Ruihong Energy Service Group Co Ltd, the local company engaged in providing engineering services for petroleum natural gas projects from Dongying Financial Holding Group Co Ltd, the local chinese state-owned financial company. The consideration was RMB 264.67m ($37.1m).",37.0805
,26/12/23,Div Inc (100% Stake),Computer programming schools operator. Employment placement agent.,Tokyo,https://di-v.co.jp/,Computer services,Japan,Broadmedia Corporation,"Listed Japan-based company engaged in providing Video-on-demand, Game-on-demand, Contract delivery network services, broadband services and mobile advertising",http://www.broadmedia.co.jp/,"Computer services,Leisure,Media,Services (other)",Japan,Mori Trust Co Ltd; Eight Roads Ventures Japan; Yukinari Mako (Private Individual),Real estate property manager and real estate developer.; Japan-based venture capital firm.; Private individual.,http://www.mori-trust.co.jp; https://eightroads.com/en/contact-us,Real Estate; Financial Services; Financial Services,Japan,,,,,,,,,,,,,"Broadmedia Corp, the Japan based cable television and other program broadcasting and distribution company, announced it will acquire all shares in Div Inc, the local computer programming schools operator, from Mr. Yukinari Mako, Eight Roads Ventures Japan, Mori Trust Co Ltd and other shareholders, on Jan 1, 2024. The terms of the deal were undisclosed.",
,26/12/23,Wenzhou Shengmao Properties Co Ltd (100% Stake),Company mainly engaged in real estate development and operation.,Wenzhou,,Real Estate,China,Zhejiang Luchuang Mining Management Co Ltd,Company engaged in engineering management services.,,Services (other),China,Ningbo Ningxing Real Estates Development Group Co Ltd,Real estates developer.,,Real Estate,China,9.2466,,9.2466,,,,,,,,,Cash (USD 9.2466),"Zhejiang Luchuang Mining Management Co Ltd, the China based company engaged in engineering management services has acquired Wenzhou Shengmao Properties Co Ltd, the local company mainly engaged in real estate development and operation from Ningbo Ningxing Real Estates Development Group Co Ltd, the local real estates developer. The consideration was RMB 66m ($9.3m).",9.2466
,26/12/23,China Railway (Henan) Xinchuan Highway Co Ltd (45% Stake),Company mainly engaged in construction and operation of highway and related facilities.,,,Construction,China,Shanghai Shenchuan Consultation Management Cooperative Enterprise (LP),Company engaged in providing management consulting services.,,Services (other),China,China Railway Development Investment Co Ltd,Investment company.,,Financial Services,China,266.9285,,266.9285,,,,,,,,,Cash (USD 120.1178),"Shanghai Shenchuan Consultation Management Cooperative Enterprise (LP), the China based company engaged in providing management consulting services has acquired 45% of China Railway (Henan) Xinchuan Highway Co Ltd, the local company mainly engaged in construction and operation of highway and related facilities from China Railway Development Investment Co Ltd, the local investment company. The consideration was RMB 857.37m ($120m).",120.1178
,26/12/23,"Dongguan Chitwing Technology Co., Ltd. (8.08% Stake)","China-based SZSE-listed company headquartered in Dongguan, Guangdong province, is engaged in the design and manufacturing of non-metallic product molds, fine blanking dies, precision cavity molds, mold standard parts, cellphone cases and plastic hardware, among others.",Dongguan,http://www.chitwing.com/pcweb/cindex/sec_list.spg?cid=20170305103348000008,Industrial products and services,China,Sichuan Development Security Investment Fund Management Co Ltd,Investment company.,,Financial Services,China,Chitwing Technology Group Co Ltd,,,Industrial products and services,China,1209.2855,,1209.2855,,,,,,,,,Cash (USD 97.7103),"Sichuan Development Security Investment Fund Management Co Ltd, the China based investment company, is to acquire 8.08% of Dongguan Chitwing Technology Co Ltd, the local manufacturer of plastic molds and metal molds, from Chitwing Technology Group Co Ltd, the local company operating in metal products. The consideration was RMB697.43m ($97.63m), based on 19,910,710 Dongguan Chitwing Technology shares valued at RMB35.028 per share.",97.7103
,26/12/23,grow&partners Inc,"Software-Computer, Traditional & Other. Software company engaged with providing reservation system of short-term child care. Short-term child care service provider.",,https://growand.co/,Computer software,Japan,JR East Start Up Co Ltd,"Japan-based venture capital investment arm of East Japan Railway Co., Ltd.",http://jrestartup.co.jp/,Financial Services,Japan,,,,,,,,,,,,,,,,,,"JR East Start Up Co Ltd, the Japan based venture capital firm, announced it has acquired some newly issued shares in grow&partners Inc, the local providing reservation system of short-term child care. The terms of the deal were undisclosed.",
,26/12/23,Shanghai Shuangfenggu Gelatin Co Ltd (100% Stake),Company engaged in distribution and retail of chemical materials including gelatin.,Shanghai,,Chemicals and materials,China,Undisclosed Acquirer,Undisclosed Acquirer.,,,China,Shanghai Huliang Warehouse & Storage Co Ltd,Company engaged in providing warehouse and storage services.,,Transportation,China,63.045,,63.045,,,,,,,,,Cash (USD 63.0450),"A China based undisclosed acquirer has acquired Shanghai Shuangfenggu Gelatin Co Ltd, the local company engaged in distribution and retail of chemical materials including gelatin from Shanghai Huliang Warehouse & Storage Co Ltd, the local company engaged in providing warehouse and storage services. The consideration was RMB 450m ($63m).",63.045
,26/12/23,Fuyun Hengsheng Beryllium Industry Co Ltd (45.25% Stake),Beryllium alloy maker.,,,Industrial products and services,China,"Western Region Gold Co., Ltd.","China-based SHSE-listed company headquartered in Wulumuqi,  Xinjiang province, is engaged in mining, production and sales of gold, chrome ore and iron ore",http://www.w-r-g.cn,Mining,China,"Xinjiang Nonferrous Metal Industry (Group) Co., Ltd.",China based company engaged in mining of metal ore,http://www.xjysjs.com,Mining,China,14.981,,14.981,,,,,,,,,Cash (USD 6.7789),"Western Region Gold Co Ltd, the China based gold mining company has acquired Fuyun Hengsheng Beryllium Industry Co Ltd, the local beryllium alloy maker from Xinjiang Non-ferrous Metal Industry (Group) Ltd, the local metal mining and producer. The consideration was RMB106.93m ($14.97m). Prior to the transaction, Xinjiang Non-ferrous Metal Industry (Group) held 54.75% of Western Region Gold, the deal value was apportioned to RMB48.39m ($6.77m).",6.7789
,26/12/23,Kaneko Co Ltd,"Waste management, recycling.",,https://www.k-kaneko.com/,Industrial products and services,Japan,Trustar Capital (Hong Kong (China)),"Trustar Capital, formerly CITIC Capital Partnerâ€‹, is a private equity affiliate of CITIC Capital Holdings Limited. The firm invests globally in companies which are capitalizing upon the growth and productive resources of the Chinese economy.",http://www.citiccapital.com,Financial Services,Hong Kong (China),,,,,,,,,,,,,,,,,,"Trustar Capital (Hong Kong (China)), the Hong Kong based private equity affiliate of CITIC Capital Holdings Limited, announced it has acquires some newly issued shares in Kaneko Co Ltd, the local waste management, recycling. The terms of the deal were undisclosed.",
